Algorithm;Problem;CPU Time [ms];System Time [ms];User Time [ms];Clock Time [ms];Optimize counter;Optimize/sec (CPU) [1/s];Optimize/sec (Clock) [1/s];Exception;Best solution;Best solution (human readable);Depth;Fitness;Operations
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9386];15;1;16;23;20;1333;869;none;[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1];[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1];0;3168.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9387];32;1;31;42;20;625;476;none;[0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1];[0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1];0;3377.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9388];15;1;16;22;20;1333;909;none;[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0];[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0];0;2707.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9389];16;1;15;18;20;1250;1111;none;[0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1];[0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1];0;2525.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9390];31;1;31;22;20;645;909;none;[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0];[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0];0;2968.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9391];16;1;16;20;20;1250;1000;none;[1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0];[1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0];0;2780.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9392];31;1;31;23;20;645;869;none;[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1];[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1];0;2621.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9393];15;1;16;20;20;1333;1000;none;[1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1];[1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1];0;2830.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9394];16;1;15;17;20;1250;1176;none;[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1];[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1];0;3031.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9395];16;1;16;18;20;1250;1111;none;[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1];[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1];0;2709.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9396];1;1;1;15;20;20000;1333;none;[1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0];[1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0];0;2995.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9397];15;1;15;23;20;1333;869;none;[1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1];[1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1];0;2280.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9398];32;1;31;25;20;625;800;none;[1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1];[1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1];0;2664.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9399];15;1;16;20;20;1333;1000;none;[1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1];[1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1];0;2978.0;Unknown operation
